ID,NUMERO,lactation,dim,PRODUCAO_PESO
450,1502,1,7,25.2
451,1502,1,35,35.3
452,1502,1,63,40.2
453,1502,1,105,44.8
454,1502,1,133,44.0
455,1502,1,163,44.7
456,1502,1,203,41.0
457,1502,1,238,40.4
458,1502,1,259,35.2
459,1502,2,12,43.0
460,1502,2,40,49.0
461,1502,2,68,49.3
462,1502,2,82,54.2
463,1502,2,96,44.7
464,1502,2,152,38.4
465,1502,2,180,36.5
466,1502,2,208,31.6
467,1502,2,236,25.4
468,1502,2,264,20.4
469,1502,2,292,9.4
470,1502,3,28,56.8
471,1502,3,56,56.09
472,1502,3,98,51.0
473,1502,3,126,54.0
474,1502,3,154,47.0
475,1502,3,210,36.8
476,1502,3,238,32.2
477,1502,3,266,26.0
478,1502,3,294,19.299
479,1502,4,29,54.0
480,1502,4,56,45.599
481,1502,4,84,54.599
482,1502,4,112,51.599
483,1502,4,159,58.7
484,1502,4,182,46.4
485,1502,4,211,42.5
486,1502,4,238,18.399
487,1502,5,6,45.0
488,1502,5,34,58.9
534,1503,1,11,28.0
535,1503,1,39,33.6
536,1503,1,67,37.2
537,1503,1,95,43.6
538,1503,1,137,47.3
539,1503,1,165,46.7
540,1503,1,195,41.8
541,1503,1,270,31.2
542,1503,1,291,41.3
543,1503,1,319,32.0
544,1503,2,28,48.8
545,1503,2,42,55.4
546,1503,2,56,55.2
547,1503,2,112,62.4
548,1503,2,140,61.5
549,1503,2,168,63.0
550,1503,2,196,49.0
551,1503,2,224,52.6
552,1503,2,252,53.0
553,1503,2,294,46.3
554,1503,3,24,47.0
555,1503,3,52,56.2
556,1503,3,80,61.63
557,1503,3,122,58.0
558,1503,3,150,55.3
559,1503,3,178,52.0
560,1503,3,206,55.2
561,1503,3,262,45.2
562,1503,3,290,43.799
563,1503,3,318,36.0
564,1503,3,347,33.0
565,1503,4,18,50.7
566,1503,4,93,55.0
567,1503,4,116,54.599
568,1503,4,145,64.0
569,1503,4,172,60.5
570,1503,4,229,45.7
571,1503,4,271,55.0
572,1503,4,299,55.0
622,1507,1,8,30.0
623,1507,1,36,38.5
624,1507,1,64,40.3
625,1507,1,92,41.0
626,1507,1,134,50.8
627,1507,1,162,50.3
628,1507,1,192,42.2
629,1507,1,267,36.0
630,1507,2,4,36.0
631,1507,2,32,50.6
632,1507,2,60,53.0
633,1507,2,88,57.2
634,1507,2,102,57.0
635,1507,2,116,54.0
636,1507,2,172,59.4
637,1507,2,200,55.0
638,1507,2,228,50.0
639,1507,2,256,44.7
640,1507,2,284,37.7
641,1507,2,312,36.0
642,1507,2,354,31.2
643,1507,3,10,48.0
644,1507,3,38,59.2
645,1507,3,66,58.71
646,1507,3,108,25.0
647,1507,3,136,53.2
648,1507,3,164,50.4
649,1507,3,192,50.3
650,1507,3,220,45.9
651,1507,3,248,45.0
652,1507,3,276,30.0
653,1507,4,32,39.7
654,1507,4,61,51.5
655,1507,4,88,53.0
656,1507,4,116,57.0
657,1507,4,144,45.5
658,1507,4,191,30.0
659,1507,4,214,23.799
660,1507,4,243,16.6
661,1507,5,8,24.6
662,1507,5,36,22.0
704,1511,1,8,27.5
705,1511,1,36,31.6
706,1511,1,64,32.4
707,1511,1,106,40.3
708,1511,1,134,37.6
709,1511,1,164,30.4
710,1511,1,204,41.8
711,1511,1,239,39.3
712,1511,2,6,44.0
713,1511,2,20,54.3
714,1511,2,76,57.0
715,1511,2,104,54.6
716,1511,2,132,52.5
717,1511,2,160,42.0
718,1511,2,188,47.4
719,1511,2,216,34.0
720,1511,2,258,33.5
721,1511,3,8,43.3
722,1511,3,36,50.4
723,1511,3,64,54.96
724,1511,3,106,43.8
725,1511,3,134,42.5
726,1511,3,162,42.8
727,1511,3,190,39.4
728,1511,3,218,33.4
729,1511,3,246,28.0
730,1511,3,274,16.799
731,1511,4,32,63.4
732,1511,4,61,57.599
733,1511,4,88,55.4
734,1511,4,116,49.299
735,1511,4,144,46.7
736,1511,4,191,47.2
737,1511,4,214,39.2
738,1511,4,243,38.599
739,1511,4,270,24.2
740,1511,5,32,40.5
741,1511,5,60,33.4
788,1512,1,19,26.4
789,1512,1,61,32.4
790,1512,1,89,32.9
791,1512,1,119,32.7
792,1512,1,159,37.4
793,1512,1,194,35.0
794,1512,1,215,34.6
795,1512,1,243,29.2
796,1512,2,22,37.4
797,1512,2,36,34.5
798,1512,2,106,46.4
799,1512,2,134,41.6
800,1512,2,162,45.0
801,1512,2,190,42.0
802,1512,2,218,38.6
803,1512,2,246,32.4
804,1512,3,17,39.9
805,1512,3,45,41.0
806,1512,3,73,45.0
807,1512,3,101,43.09
808,1512,3,143,40.7
809,1512,3,171,34.5
810,1512,3,199,38.7
811,1512,3,227,35.0
812,1512,3,255,28.7
813,1512,4,11,41.0
814,1512,4,40,47.7
815,1512,4,81,43.0
816,1512,4,110,39.2
817,1512,4,137,35.5
818,1512,4,165,34.0
819,1512,4,240,26.0
820,1512,4,263,26.299
821,1512,4,292,28.299
822,1512,5,33,38.7
823,1512,5,61,37.9
844,1517,1,19,25.2
845,1517,1,61,29.2
846,1517,1,89,26.2
847,1517,1,119,29.6
848,1517,1,159,28.2
849,1517,1,194,28.8
850,1517,1,215,28.3
851,1517,1,243,26.5
852,1517,1,271,26.4
853,1517,1,299,23.7
854,1517,2,7,31.6
855,1517,2,63,41.0
856,1517,2,91,29.0
857,1517,2,119,30.3
858,1517,2,147,32.0
859,1517,2,175,34.8
860,1517,2,203,30.4
861,1517,2,245,25.0
862,1517,2,273,27.0
863,1517,2,301,18.8
864,1517,3,15,34.76
865,1517,3,57,38.3
866,1517,3,113,25.4
867,1517,3,141,31.7
868,1517,3,169,30.7
869,1517,3,197,31.0
870,1517,3,225,32.4
871,1517,3,253,34.2
872,1517,3,282,32.0
873,1517,3,323,20.799
874,1517,4,23,36.7
875,1517,4,51,38.0
876,1517,4,98,46.799
877,1517,4,121,40.9
878,1517,4,150,42.7
879,1517,4,177,40.4
880,1517,4,234,21.799
881,1517,4,276,21.5
917,1527,1,13,30.6
918,1527,1,41,39.3
919,1527,1,69,39.3
920,1527,1,97,41.2
921,1527,1,111,31.0
922,1527,1,125,39.2
923,1527,1,181,52.6
924,1527,1,209,43.0
925,1527,1,237,46.4
926,1527,1,265,36.0
927,1527,1,293,38.0
928,1527,2,17,45.0
929,1527,2,45,51.4
930,1527,2,73,50.6
931,1527,2,101,53.2
932,1527,2,129,48.49
933,1527,2,171,44.2
934,1527,2,199,50.0
935,1527,2,227,39.5
936,1527,2,255,41.2
937,1527,2,283,38.2
938,1527,2,311,22.0
939,1527,2,339,16.6
940,1527,3,38,50.599
941,1527,3,67,57.299
942,1527,3,94,55.599
943,1527,3,122,56.0
944,1527,3,150,50.2
945,1527,3,197,47.0
946,1527,3,220,50.0
947,1527,3,249,47.0
948,1527,3,276,39.5
949,1527,4,25,48.0
1189,1555,1,10,31.4
1190,1555,1,38,36.0
1191,1555,1,52,37.0
1192,1555,1,66,37.8
1193,1555,1,122,45.8
1194,1555,1,150,47.8
1195,1555,1,178,42.3
1196,1555,1,206,38.6
1197,1555,1,234,43.6
1198,1555,1,262,37.0
1199,1555,2,28,40.2
1200,1555,2,56,42.3
1201,1555,2,84,50.3
1202,1555,2,112,50.53
1203,1555,2,182,35.0
1204,1555,2,210,34.2
1205,1555,2,238,30.4
1206,1555,2,266,34.7
1207,1555,3,13,43.2
1208,1555,3,42,47.5
1209,1555,3,83,55.0
1210,1555,3,139,42.2
1211,1555,3,167,48.599
1212,1555,3,195,46.5
1213,1555,3,242,41.0
1214,1555,3,265,39.599
1215,1555,3,294,27.7
1216,1555,4,74,28.799
1332,1564,1,25,30.0
1333,1564,1,53,36.0
1334,1564,1,67,37.8
1335,1564,1,81,40.5
1336,1564,1,137,52.7
1337,1564,1,165,49.0
1338,1564,1,193,48.0
1339,1564,1,221,40.0
1340,1564,1,249,42.4
1341,1564,1,277,44.0
1342,1564,1,319,44.4
1343,1564,2,27,30.2
1344,1564,2,55,41.85
1345,1564,2,97,48.9
1346,1564,2,125,43.8
1347,1564,2,153,45.2
1348,1564,2,181,46.0
1349,1564,2,209,45.4
1350,1564,2,237,41.5
1351,1564,2,265,40.4
1352,1564,3,16,40.799
1353,1564,3,45,56.5
1354,1564,3,72,57.9
1355,1564,3,100,53.7
1356,1564,3,128,49.9
1357,1564,3,175,43.2
1358,1564,3,198,45.599
1359,1564,3,227,50.9
1360,1564,3,254,46.2
1361,1564,3,311,41.4
1362,1564,3,353,42.5
1363,1564,3,381,42.0
1416,1566,1,17,28.0
1417,1566,1,45,35.0
1418,1566,1,59,31.6
1419,1566,1,73,41.3
1420,1566,1,129,49.0
1421,1566,1,157,37.0
1422,1566,1,185,38.2
1423,1566,1,213,35.5
1424,1566,1,241,29.0
1425,1566,1,269,32.6
1426,1566,1,311,28.3
1427,1566,2,12,30.3
1428,1566,2,40,39.2
1429,1566,2,68,40.24
1430,1566,2,110,40.0
1431,1566,2,138,36.0
1432,1566,2,166,37.8
1433,1566,2,194,35.5
1434,1566,2,222,26.0
1435,1566,2,250,23.9
1436,1566,2,278,17.6
1437,1566,3,36,47.0
1438,1566,3,65,46.0
1439,1566,3,92,43.9
1440,1566,3,120,50.5
1441,1566,3,148,41.0
1442,1566,3,195,46.5
1443,1566,3,218,42.0
1444,1566,3,247,43.0
1445,1566,3,274,23.799
1446,1566,4,41,40.0
1447,1566,4,69,40.2
1533,1573,1,17,30.8
1534,1573,1,45,38.8
1535,1573,1,59,41.0
1536,1573,1,73,40.5
1537,1573,1,129,48.0
1538,1573,1,157,46.0
1539,1573,1,185,47.5
1540,1573,1,213,41.3
1541,1573,1,241,42.8
1542,1573,1,269,44.3
1543,1573,1,311,39.0
1544,1573,1,339,36.4
1545,1573,2,25,48.8
1546,1573,2,53,54.09
1547,1573,2,95,53.0
1548,1573,2,123,49.8
1549,1573,2,151,42.0
1550,1573,2,179,44.0
1551,1573,2,207,46.0
1552,1573,2,235,46.4
1553,1573,2,263,43.599
1554,1573,2,291,42.4
1555,1573,2,320,38.799
1556,1573,2,361,22.399
1557,1573,3,18,48.5
1558,1573,3,46,50.5
1559,1573,3,93,59.7
1560,1573,3,116,38.9
1561,1573,3,145,43.599
1562,1573,3,172,45.599
1563,1573,3,229,46.0
1564,1573,3,271,42.2
1722,1584,1,13,31.5
1723,1584,1,27,36.2
1724,1584,1,41,43.3
1725,1584,1,97,47.8
1726,1584,1,125,48.0
1727,1584,1,153,44.4
1728,1584,1,181,14.5
1729,1584,1,209,37.9
1730,1584,1,237,38.4
1731,1584,2,23,39.5
1732,1584,2,51,46.2
1733,1584,2,79,49.63
1734,1584,2,121,46.3
1735,1584,2,149,41.0
1736,1584,2,177,40.7
1737,1584,2,205,40.4
1738,1584,2,261,14.2
1739,1584,3,5,30.0
1740,1584,3,46,51.299
1741,1584,3,75,55.0
1742,1584,3,102,54.0
1743,1584,3,158,32.2
1744,1584,3,205,31.0
1745,1584,3,228,26.5
1746,1584,3,257,23.799
1747,1584,3,284,22.5
1748,1584,4,16,42.9
1749,1584,4,44,26.0
1805,1593,1,12,30.3
1806,1593,1,26,36.6
1807,1593,1,40,37.3
1808,1593,1,96,47.0
1809,1593,1,124,45.2
1810,1593,1,152,42.4
1811,1593,1,180,48.0
1812,1593,1,208,38.5
1813,1593,1,236,42.0
1814,1593,2,15,43.2
1815,1593,2,43,52.3
1816,1593,2,71,56.0
1817,1593,2,99,56.32
1818,1593,2,141,48.4
1819,1593,2,169,51.4
1820,1593,2,197,37.8
1821,1593,2,225,41.8
1822,1593,2,253,31.3
1823,1593,3,22,49.5
1824,1593,3,63,47.5
1825,1593,3,92,51.799
1826,1593,3,119,40.7
1827,1593,3,147,43.2
1828,1593,3,175,40.2
1829,1593,3,222,37.599
1830,1593,3,245,30.6
1831,1593,4,23,36.2
1832,1593,4,65,50.799
1833,1593,4,93,47.7
1884,1594,1,9,26.2
1885,1594,1,37,30.6
1886,1594,1,65,34.5
1887,1594,1,79,38.0
1888,1594,1,93,37.0
1889,1594,1,149,43.4
1890,1594,1,177,41.7
1891,1594,1,205,39.9
1892,1594,1,233,35.4
1893,1594,1,261,36.7
1894,1594,2,30,24.0
1895,1594,2,58,26.3
1896,1594,2,86,27.6
1897,1594,2,114,31.6
1898,1594,2,142,30.89
1899,1594,2,184,27.0
1900,1594,2,212,27.4
1901,1594,2,240,17.5
1902,1594,2,268,14.8
1903,1594,3,15,35.0
1904,1594,3,43,40.599
1905,1594,3,72,49.5
1906,1594,3,113,47.0
1907,1594,3,142,41.2
1908,1594,3,169,42.2
1909,1594,3,197,25.7
1910,1594,3,272,25.799
1911,1594,3,295,28.299
1912,1594,3,324,15.0
1913,1594,4,35,43.7
1914,1594,4,63,46.599
2137,1622,1,29,41.3
2138,1622,1,57,46.8
